strike,cumulative_gex_bn_per_pct
0.5,1.0000000000000001e-07
1.0,3.0000000000000004e-07
1.5,6e-07
2.0,2.6700000000000002e-05
2.5,3.04e-05
3.0,7.14e-05
3.5,7.46e-05
4.0,0.00030369999999999996
4.5,0.00030409999999999996
5.0,0.011241399999999997
6.0,0.011334499999999997
7.0,0.011414199999999998
7.5,0.011414199999999998
8.0,0.011652099999999997
9.0,0.011718199999999996
10.0,0.008038699999999996
11.0,0.008152299999999996
12.0,0.008396499999999996
12.5,0.008396499999999996
13.0,0.008012399999999996
14.0,0.008017199999999995
15.0,-0.04611610000000001
16.0,-0.04480030000000001
17.0,-0.04487050000000001
17.5,-0.04487050000000001
18.0,-0.04472480000000001
19.0,-0.04251030000000001
20.0,0.019219499999999994
21.0,0.03362489999999999
22.0,0.051076899999999995
22.5,0.051076899999999995
23.0,0.051941799999999996
24.0,0.055044499999999996
25.0,-0.003965299999999991
26.0,-0.00017349999999999137
27.0,0.005635300000000009
28.0,-2.6199999999990987e-05
29.0,0.0035981000000000095
30.0,-0.029786099999999986
31.0,-0.023218499999999986
32.0,-0.001340999999999988
33.0,-0.0008890999999999882
34.0,-0.0009234999999999881
35.0,0.030767600000000013
36.0,0.03305750000000001
37.0,0.03454870000000001
38.0,0.04380230000000001
39.0,0.05954070000000001
40.0,0.014152600000000008
41.0,0.02300410000000001
42.0,0.03855860000000001
43.0,0.04798830000000001
44.0,0.05296230000000001
45.0,-0.09810239999999998
46.0,-0.08652249999999997
47.0,-0.09528489999999998
48.0,-0.08910699999999998
49.0,-0.04777579999999998
50.0,-0.4071453
51.0,-0.3821445
52.0,-0.3694712
53.0,-0.354097
54.0,-0.3561468
55.0,-0.40608469999999997
56.0,-0.4029232
57.0,-0.43356829999999996
58.0,-0.4645004
59.0,-0.26395599999999997
60.0,-0.7386723
61.0,-0.7436216999999999
62.0,-0.7320945
63.0,-0.6738128999999999
64.0,-0.6613815999999999
65.0,-0.8313232999999999
66.0,-0.8121348999999999
67.0,-0.8036132999999999
68.0,-0.8178585999999999
69.0,-0.6804278999999999
70.0,-0.8890106999999998
71.0,-0.8721933999999998
72.0,-1.0989747999999997
73.0,-1.1024506999999997
74.0,-0.9423687999999997
75.0,-1.6992819999999995
76.0,-1.7660260999999995
77.0,-1.7419199999999995
78.0,-1.7500517999999994
79.0,-1.7028347999999993
80.0,-2.299413599999999
81.0,-2.259567899999999
82.0,-2.248359699999999
83.0,-2.146731999999999
84.0,-2.088339199999999
85.0,-3.3764402999999987
86.0,-3.3975591999999986
87.0,-3.3184905999999987
88.0,-3.130153699999999
89.0,-3.318623099999999
90.0,-5.579580199999999
91.0,-5.509416699999999
92.0,-5.520526899999999
93.0,-5.389840499999999
94.0,-5.353644499999999
95.0,-7.347712799999999
96.0,-7.410454199999999
97.0,-7.201505399999999
98.0,-7.2072641
99.0,-7.242626899999999
100.0,-10.380814399999998
101.0,-9.654764699999998
102.0,-9.600092499999997
103.0,-8.656659499999996
104.0,-8.663340399999996
105.0,-7.426945799999995
106.0,-7.410615799999995
107.0,-7.427049299999995
108.0,-7.517884499999995
109.0,-7.534789399999995
110.0,-11.389400799999994
111.0,-11.406606599999993
112.0,-11.611630999999992
113.0,-11.672389799999992
114.0,-11.810876499999992
115.0,-16.69610129999999
116.0,-17.09537049999999
117.0,-17.12657339999999
118.0,-17.19079599999999
119.0,-17.268906799999993
120.0,-29.152124599999993
121.0,-29.238468199999993
122.0,-29.093892899999993
123.0,-29.168476999999992
124.0,-30.134811599999992
125.0,-40.236742799999995
126.0,-40.03322419999999
127.0,-40.313916799999994
128.0,-40.541230299999995
129.0,-40.656282
130.0,-52.9172428
132.0,-53.6394454
134.0,-54.0001656
135.0,-60.393745700000004
136.0,-60.4303492
138.0,-61.0935624
140.0,-89.5971404
142.0,-89.9633881
144.0,-90.2378266
145.0,-105.85034150000001
146.0,-106.71097620000002
148.0,-105.97650980000002
150.0,-144.64572740000003
152.0,-145.35893780000004
152.5,-145.48011830000004
154.0,-145.56412730000005
155.0,-166.03524420000005
156.0,-166.11680430000004
157.5,-166.18910560000003
158.0,-167.33723040000004
160.0,-181.52526330000003
162.0,-182.76972180000004
162.5,-182.84426940000003
164.0,-176.41753330000003
165.0,-206.24607790000005
166.0,-207.22376540000005
167.0,-208.67350850000005
167.5,-208.74022140000005
168.0,-209.61520970000007
169.0,-210.44643870000007
170.0,-254.1461245000001
171.0,-254.7710381000001
172.0,-256.0864090000001
172.5,-256.1693421000001
173.0,-256.9264114000001
174.0,-257.33948780000014
175.0,-293.22903000000014
176.0,-289.5584245000001
177.0,-288.8324930000001
177.5,-289.0285318000001
178.0,-289.93416330000014
179.0,-289.8294725000001
180.0,-338.50762610000015
181.0,-340.41629650000016
182.0,-341.07039350000014
182.5,-341.6190143000001
183.0,-341.6168412000001
184.0,-341.5486990000001
185.0,-366.4109170000001
186.0,-366.04401480000007
187.0,-368.3217101000001
187.5,-369.15421790000005
188.0,-373.09873970000007
189.0,-370.14988030000006
190.0,-330.71129390000004
191.0,-331.61872250000005
192.0,-332.44567230000007
192.5,-336.08852090000005
193.0,-334.02259520000007
194.0,-328.1224336000001
195.0,-374.89287450000006
197.5,-381.11783770000005
200.0,-378.75099420000004
202.5,-400.69266280000005
205.0,-460.98049720000006
207.5,-491.70716480000004
210.0,-475.824917
212.0,-478.5877724
212.5,-516.6435428
213.0,-514.066141
214.0,-512.3211073
215.0,-351.5202802
216.0,-353.4599761
217.0,-349.5055987
217.5,-196.6534749
218.0,-188.763847
219.0,-182.8646366
220.0,199.0018358
221.0,210.88879010000002
222.0,219.41192310000002
222.5,339.3216707
223.0,349.7749127
224.0,355.17814580000004
225.0,762.1421844000001
226.0,769.0979339000002
227.0,775.4616790000001
227.5,857.2342592000001
228.0,881.9437539000002
230.0,1315.0303170000002
232.5,1351.8364368000002
235.0,1527.7759062000002
237.5,1546.0806499000003
240.0,1793.6230977000002
242.5,1801.2122310000002
245.0,1884.7892539000002
247.5,1886.8559758000001
250.0,2124.9040884
252.5,2126.1365007
255.0,2166.9442903999998
257.5,2167.5369105
260.0,2259.272196
262.5,2259.4917461
265.0,2300.4459799
267.5,2300.5523434
270.0,2364.7346174
272.5,2364.790497
275.0,2388.0456295
277.5,2388.0919882
280.0,2439.9927328999997
282.5,2440.0599696
285.0,2448.5449164
287.5,2448.5669313000003
290.0,2481.7313251000005
292.5,2481.8107407000007
295.0,2488.7318582000007
297.5,2488.731861500001
300.0,2600.288836800001
305.0,2601.565005200001
310.0,2617.517214800001
315.0,2618.356579200001
320.0,2630.341124600001
325.0,2631.3689062000008
330.0,2640.291669700001
335.0,2640.682251400001
340.0,2666.584968400001
345.0,2666.890433300001
350.0,2689.714437900001
355.0,2689.894784600001
360.0,2698.183451900001
365.0,2698.3177284000008
370.0,2704.233134400001
375.0,2704.285790600001
380.0,2713.664229200001
385.0,2713.805076000001
390.0,2719.032457600001
395.0,2719.034128400001
400.0,2737.699948200001
405.0,2737.702029000001
410.0,2743.962794400001
415.0,2743.9628344000007
420.0,2755.345248700001
425.0,2755.345962800001
430.0,2755.961690300001
435.0,2755.967899000001
440.0,2757.1976599000013
445.0,2757.199603800001
450.0,2760.168368000001
455.0,2760.529718400001
460.0,2762.124712500001
